position,drci,true_self_sim,cold_self_sim,true_cold_corr,model
1,0.003060162,0.9911104,0.9880503,0.9894036656226913,GPT-4o-mini (Phil)
2,0.018248737,0.9282431,0.9099944,0.821702826244073,GPT-4o-mini (Phil)
3,0.01728028,0.9584209,0.9411406,0.8923913979846241,GPT-4o-mini (Phil)
4,0.011023581,0.9359703,0.9249468,0.9033454402273222,GPT-4o-mini (Phil)
5,0.15108192,0.9095026,0.75842065,0.3177162618087138,GPT-4o-mini (Phil)
6,0.0061992407,0.9006246,0.8944252,0.6854105184608461,GPT-4o-mini (Phil)
7,0.040655375,0.8673143,0.82665884,0.7482497457079921,GPT-4o-mini (Phil)
8,0.022144318,0.8765954,0.8544511,0.7247159534714984,GPT-4o-mini (Phil)
9,0.17844391,0.88749015,0.70904624,0.5995051393421025,GPT-4o-mini (Phil)
10,0.07078838,0.9273625,0.85657406,0.6751602082278633,GPT-4o-mini (Phil)
11,0.0786041,0.8824665,0.8038625,0.4376509103332349,GPT-4o-mini (Phil)
12,-0.016048968,0.9016167,0.9176657,0.8724316438324226,GPT-4o-mini (Phil)
13,-0.06351864,0.8247806,0.8882993,0.6521386073280733,GPT-4o-mini (Phil)
14,-0.023551881,0.8708634,0.8944151,0.7582840569087234,GPT-4o-mini (Phil)
15,-0.007620394,0.9180014,0.9256218,0.8807968447553112,GPT-4o-mini (Phil)
16,0.00553751,0.9277796,0.9222419,0.917468044309453,GPT-4o-mini (Phil)
17,-0.042056262,0.8727234,0.91477966,0.711190772657023,GPT-4o-mini (Phil)
18,0.0509305,0.860786,0.8098556,0.5253367671683892,GPT-4o-mini (Phil)
19,0.11909866,0.8670113,0.7479128,0.5445254393063446,GPT-4o-mini (Phil)
20,-0.06993878,0.893977,0.9639158,0.6534276532788699,GPT-4o-mini (Phil)
21,-0.026509762,0.8707201,0.89722973,0.8611890985659088,GPT-4o-mini (Phil)
22,-0.007885456,0.88270736,0.8905928,0.8182572768513261,GPT-4o-mini (Phil)
23,0.03826189,0.8513016,0.81303984,0.7547980759092389,GPT-4o-mini (Phil)
24,0.03705114,0.9184284,0.8813773,0.7961020778335482,GPT-4o-mini (Phil)
25,0.028699517,0.90717536,0.87847596,0.833850222579665,GPT-4o-mini (Phil)
26,0.035817146,0.85152805,0.815711,0.6178012949876704,GPT-4o-mini (Phil)
27,-0.01597017,0.9238471,0.93981725,0.9163049432227022,GPT-4o-mini (Phil)
28,0.029066086,0.84069383,0.8116277,0.5997115215696437,GPT-4o-mini (Phil)
29,-0.028701425,0.8972503,0.92595166,0.782501584287637,GPT-4o-mini (Phil)
30,0.010864794,0.8798611,0.8689963,0.6458717667461857,GPT-4o-mini (Phil)
1,0.0005893111,0.99736,0.99677074,0.9968175051737744,GPT-4o (Phil)
2,0.033000708,0.94171876,0.908718,0.8144279654908569,GPT-4o (Phil)
3,0.030715704,0.9512778,0.9205622,0.8772451625654031,GPT-4o (Phil)
4,0.008071542,0.9257725,0.917701,0.8827650664929013,GPT-4o (Phil)
5,0.16166359,0.9022352,0.7405715,0.2313027609081424,GPT-4o (Phil)
6,0.006852746,0.902463,0.89561033,0.584326133494637,GPT-4o (Phil)
7,-0.0134913325,0.83503574,0.8485269,0.5988945076592569,GPT-4o (Phil)
8,0.016203761,0.82855535,0.8123515,0.7669760377620317,GPT-4o (Phil)
9,0.096227586,0.7672425,0.6710149,0.5821711149680657,GPT-4o (Phil)
10,0.16285545,0.9138443,0.75098884,0.6138650854663456,GPT-4o (Phil)
11,0.16706783,0.851925,0.68485737,0.3693994844985076,GPT-4o (Phil)
12,0.021679938,0.9130362,0.8913562,0.797709139065635,GPT-4o (Phil)
13,0.15345961,0.85619986,0.7027402,0.6648834642535869,GPT-4o (Phil)
14,-0.03658712,0.8686338,0.9052208,0.7291201876578697,GPT-4o (Phil)
15,-0.0070536137,0.90694946,0.914003,0.8667457263120851,GPT-4o (Phil)
16,-0.015446246,0.90456223,0.92000836,0.8915360250162486,GPT-4o (Phil)
17,-0.016909182,0.86559004,0.8824992,0.7922703060364865,GPT-4o (Phil)
18,0.13203412,0.8765059,0.74447155,0.5209356974747714,GPT-4o (Phil)
19,0.11586499,0.8292493,0.71338433,0.5394581162875149,GPT-4o (Phil)
20,-0.06855935,0.87556314,0.9441226,0.7583223777610199,GPT-4o (Phil)
21,-0.028639734,0.89535344,0.92399323,0.8698580407627926,GPT-4o (Phil)
22,-0.030074716,0.8588614,0.88893616,0.8105542148625328,GPT-4o (Phil)
23,0.032448888,0.83005244,0.7976035,0.6913306071330185,GPT-4o (Phil)
24,-0.029033184,0.88124293,0.91027623,0.8526786658331466,GPT-4o (Phil)
25,0.008192897,0.8789206,0.87072784,0.8372521813181962,GPT-4o (Phil)
26,0.10483909,0.8008213,0.69598216,0.5590344938927915,GPT-4o (Phil)
27,-0.0018990636,0.927539,0.929438,0.9116848690196279,GPT-4o (Phil)
28,0.0029055476,0.77771026,0.77480465,0.6526004120874425,GPT-4o (Phil)
29,-0.06917381,0.85379064,0.9229646,0.8044952186786211,GPT-4o (Phil)
30,0.002970457,0.8719113,0.8689407,0.639925701483779,GPT-4o (Phil)
1,0.0036699772,0.98149496,0.97782505,0.9794428315921927,Claude Haiku (Phil)
2,-0.006298542,0.7811671,0.7874657,0.7353276279360461,Claude Haiku (Phil)
3,0.011438012,0.8948233,0.88338536,0.8591217163453052,Claude Haiku (Phil)
4,0.010397911,0.8697707,0.85937303,0.8232502529361174,Claude Haiku (Phil)
5,-0.070581436,0.83271897,0.9033006,0.365116494171071,Claude Haiku (Phil)
6,0.06530589,0.8411367,0.77583086,0.6141620802187829,Claude Haiku (Phil)
7,0.11881775,0.86734337,0.74852556,0.7523777140837775,Claude Haiku (Phil)
8,-0.009328961,0.7866753,0.79600424,0.6590004167394788,Claude Haiku (Phil)
9,0.1116671,0.7768071,0.66514003,0.5202729344765666,Claude Haiku (Phil)
10,-0.031907678,0.8476655,0.8795732,0.5080718554913227,Claude Haiku (Phil)
11,0.13731068,0.84116757,0.70385695,0.43117362789764924,Claude Haiku (Phil)
12,-0.03250152,0.8249795,0.8574812,0.7239961984857085,Claude Haiku (Phil)
13,-0.03344989,0.79405534,0.8275054,0.5949776504205133,Claude Haiku (Phil)
14,-0.008498371,0.77779615,0.78629446,0.7198864949002609,Claude Haiku (Phil)
15,0.0014739633,0.8289259,0.82745194,0.7957397276493355,Claude Haiku (Phil)
16,-0.016524374,0.7875834,0.8041079,0.7607581325099269,Claude Haiku (Phil)
17,-0.0016028881,0.76447195,0.76607496,0.6321673438207053,Claude Haiku (Phil)
18,-0.014741898,0.81330246,0.8280443,0.4836480612656416,Claude Haiku (Phil)
19,-0.0387581,0.72903776,0.7677958,0.5765025310199953,Claude Haiku (Phil)
20,-0.019327104,0.78772837,0.8070555,0.6176982769092504,Claude Haiku (Phil)
21,0.03756976,0.78722966,0.74966,0.7111299074234818,Claude Haiku (Phil)
22,-0.011201978,0.79142904,0.80263114,0.7351806308872469,Claude Haiku (Phil)
23,-0.023401856,0.7833214,0.8067232,0.7659425621294944,Claude Haiku (Phil)
24,0.03342569,0.73721695,0.70379126,0.5511635996994388,Claude Haiku (Phil)
