model,r_var_ratio,p_var_ratio,r_mi_proxy,p_mi_proxy,r_mi_proxy_total,p_mi_proxy_total
GPT-4o-mini (Phil),-0.7773651,4.345074014073495e-07,0.7773651652701531,4.3450552704774144e-07,0.7773651621376223,4.34505603491993e-07
GPT-4o (Phil),-0.85679615,1.522535931510055e-09,0.8567962304408319,1.522524117036009e-09,0.8567962336332007,1.5225236733269275e-09
Claude Haiku (Phil),-0.9147216,1.5546640136865089e-12,0.9147217053071897,1.5546401717705189e-12,0.9147216738842665,1.5546478837173687e-12
Gemini Flash (Phil),-0.9022152,9.757925512954325e-12,0.9022151011484766,9.758034509524347e-12,0.9022151105267309,9.758021987561229e-12
Gemini Flash (Med),-0.7212278,6.904460524857764e-06,0.7212278442393445,6.9044546774842305e-06,0.7212278366169612,6.904456957164529e-06
DeepSeek V3.1 (Med),-0.8815497,1.252850491426086e-10,0.8815498070860806,1.252837733332338e-10,0.88154979161596,1.2528399000668612e-10
Llama 4 Maverick (Med),-0.846144,3.879560392503205e-09,0.8461441472810115,3.8795188553131344e-09,0.8461441529245459,3.879517005497153e-09
Llama 4 Scout (Med),-0.78234756,3.2726860272603705e-07,0.7823476320249506,3.2726724322315506e-07,0.7823476359752934,3.272671687323729e-07
Qwen3 235B (Med),-0.839339,6.802533407423787e-09,0.8393389905547783,6.8025483854615345e-09,0.8393389829778191,6.802552540517098e-09
Mistral Small 24B (Med),-0.89597905,2.228722825126611e-11,0.8959789951777426,2.2287375845344356e-11,0.8959790025909844,2.2287354658825275e-11
Ministral 14B (Med),-0.93593895,3.23600110501516e-14,0.9359388177991277,3.236094918880722e-14,0.9359388057390321,3.236103204386712e-14
