model,domain,position,rci_cold,var_ratio,mutual_info_proxy
GPT-4o-mini (Phil),Philosophy,1,0.9894106268882752,0.7439092,0.25609081983566284
GPT-4o-mini (Phil),Philosophy,2,0.821653060913086,0.7972497,0.2027503252029419
GPT-4o-mini (Phil),Philosophy,3,0.8923622524738312,0.70641434,0.2935856580734253
GPT-4o-mini (Phil),Philosophy,4,0.9033724939823151,0.85312456,0.14687544107437134
GPT-4o-mini (Phil),Philosophy,5,0.31819298744201663,0.37460732,0.6253926753997803
GPT-4o-mini (Phil),Philosophy,6,0.6853543114662171,0.94128025,0.058719754219055176
GPT-4o-mini (Phil),Philosophy,7,0.7483121407032013,0.7654599,0.23454010486602783
GPT-4o-mini (Phil),Philosophy,8,0.7246923077106476,0.84785706,0.1521429419517517
GPT-4o-mini (Phil),Philosophy,9,0.5994103956222534,0.38669306,0.6133069396018982
GPT-4o-mini (Phil),Philosophy,10,0.6753900301456451,0.50644654,0.4935534596443176
GPT-4o-mini (Phil),Philosophy,11,0.4382885628938675,0.5992401,0.40075987577438354
GPT-4o-mini (Phil),Philosophy,12,0.8724339759349823,1.1949244,-0.19492435455322266
GPT-4o-mini (Phil),Philosophy,13,0.6521376037597656,1.5686519,-0.5686519145965576
GPT-4o-mini (Phil),Philosophy,14,0.7584091913700104,1.2230595,-0.2230595350265503
GPT-4o-mini (Phil),Philosophy,15,0.8808613681793213,1.1024555,-0.1024554967880249
GPT-4o-mini (Phil),Philosophy,16,0.9175019562244415,0.92878306,0.07121694087982178
GPT-4o-mini (Phil),Philosophy,17,0.7112532830238343,1.493501,-0.4935009479522705
GPT-4o-mini (Phil),Philosophy,18,0.5253196060657501,0.73214847,0.2678515315055847
GPT-4o-mini (Phil),Philosophy,19,0.5443449938297271,0.52755004,0.4724499583244324
GPT-4o-mini (Phil),Philosophy,20,0.6539470899105072,2.938217,-1.9382169246673584
GPT-4o-mini (Phil),Philosophy,21,0.8612297511100769,1.2579525,-0.2579524517059326
GPT-4o-mini (Phil),Philosophy,22,0.8182623493671417,1.0720749,-0.07207489013671875
GPT-4o-mini (Phil),Philosophy,23,0.7547489082813263,0.7953479,0.2046520709991455
GPT-4o-mini (Phil),Philosophy,24,0.7961242473125458,0.6876556,0.31234437227249146
GPT-4o-mini (Phil),Philosophy,25,0.8338333785533905,0.76383686,0.23616313934326172
GPT-4o-mini (Phil),Philosophy,26,0.6178691565990448,0.80564743,0.19435256719589233
GPT-4o-mini (Phil),Philosophy,27,0.9163072574138641,1.26536,-0.2653599977493286
GPT-4o-mini (Phil),Philosophy,28,0.5994693273305893,0.8456985,0.15430152416229248
GPT-4o-mini (Phil),Philosophy,29,0.782460310459137,1.3876048,-0.38760483264923096
GPT-4o-mini (Phil),Philosophy,30,0.6459146595001221,0.91706425,0.08293575048446655
GPT-4o (Phil),Philosophy,1,0.9968202197551728,0.8175295,0.18247050046920776
GPT-4o (Phil),Philosophy,2,0.8143312954902648,0.63847476,0.3615252375602722
