model,domain,early_1_10,mid_11_20,late_21_29,late_minus_early,pattern
GPT-4o-mini,philosophy,0.2641851,0.3045502,0.22441077777777776,-0.03977432222222224,INVERTED-U
GPT-4o,philosophy,0.3051370000000001,0.30694910000000003,0.22341177777777776,-0.08172522222222234,INVERTED-U
Claude Haiku,philosophy,0.3182797,0.3661484,0.3101023333333333,-0.008177366666666686,INVERTED-U
Gemini Flash,philosophy,0.34104910000000005,0.34510969999999996,0.32183199999999995,-0.019217100000000098,INVERTED-U
DeepSeek V3.1,philosophy,0.2654225,0.3414474,0.2847058888888889,0.01928338888888892,INVERTED-U
Llama 4 Maverick,philosophy,0.2663197,0.28685069999999996,0.23890722222222227,-0.027412477777777722,INVERTED-U
Llama 4 Scout,philosophy,0.3047887,0.3197531,0.25542922222222225,-0.04935947777777777,INVERTED-U
Qwen3 235B,philosophy,0.29972840000000006,0.34610450000000004,0.3144228888888889,0.014694488888888857,INVERTED-U
Mistral Small 24B,philosophy,0.3040246,0.2908392,0.23481155555555558,-0.0692130444444444,LINEAR-
Ministral 14B,philosophy,0.347506,0.3889739,0.37834888888888885,0.030842888888888864,INVERTED-U
Kimi K2,philosophy,0.3707045,0.45336029999999994,0.4656327777777778,0.09492827777777779,LINEAR+
Gemini Flash,medical,0.41142350000000005,0.3720931,0.46138911111111114,0.049965611111111086,U-SHAPED
Claude Haiku,medical,0.31490399999999996,0.27957899999999997,0.3757331111111111,0.06082911111111111,U-SHAPED
GPT-4o,medical,0.297659,0.23153030000000002,0.30703899999999995,0.009379999999999944,U-SHAPED
GPT-4o-mini,medical,0.35461470000000006,0.3620465,0.34701544444444443,-0.0075992555555556285,INVERTED-U
