model,domain,mean_pos_1_29,pos_30_value,z_score,is_outlier,direction
GPT-4o-mini,philosophy,0.2657603448275862,0.354085,0.5750758821186306,False,spike
GPT-4o,philosophy,0.2803988620689655,0.36003,0.4678898260626441,False,spike
Claude Haiku,philosophy,0.3322483448275862,0.281783,-0.3823397996289774,False,drop
Gemini Flash,philosophy,0.33648537931034495,0.381274,0.3243117399545391,False,spike
DeepSeek V3.1,philosophy,0.29762248275862063,0.476901,2.042004316463129,True,spike
Llama 4 Maverick,philosophy,0.26489203448275866,0.375153,0.7832979095310304,False,spike
Llama 4 Scout,philosophy,0.2946303793103448,0.383936,0.49358708448313093,False,spike
Qwen3 235B,philosophy,0.3202805172413793,0.376679,0.38597898958332655,False,spike
Mistral Small 24B,philosophy,0.277998,0.363173,0.6045911415566525,False,spike
Ministral 14B,philosophy,0.37137720689655174,0.412306,0.2729711969949971,False,spike
Kimi K2,philosophy,0.42866699999999996,0.414196,-0.11776411787260545,False,drop
Gemini Flash,medical,0.4133678620689655,0.823196,2.9157120520723803,True,spike
Claude Haiku,medical,0.3216009655172414,0.875021,4.245063863311567,True,spike
GPT-4o,medical,0.2777670344827586,0.923042,3.6928496007352543,True,spike
GPT-4o-mini,medical,0.3548190000000001,0.644682,2.243648162606254,True,spike
