model,domain,task_type,trial_number,delta_rci,source_folder
deepseek_v3_1,medical,Type2_Closed,1,0.29843585093816116,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,2,0.32903914277752244,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,3,0.3252441893021266,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,4,0.33065843433141706,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,5,0.33817905535300574,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,6,0.3092836146553357,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,7,0.33138994897405305,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,8,0.3270077675580978,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,9,0.32581365903218584,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,10,0.33648292124271395,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,11,0.31007804373900094,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,12,0.3217480768760045,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,13,0.32059726268053057,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,14,0.321108341217041,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,15,0.31914407362540564,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,16,0.3216211587190628,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,17,0.3256584693988164,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,18,0.3185779069860776,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,19,0.3153308252493541,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,20,0.2979811514417331,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,21,0.32170143624146774,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,22,0.3145977174242337,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,23,0.3117313002546628,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,24,0.3259106737251083,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,25,0.31467377245426176,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,26,0.3321142862240474,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,27,0.29834240227937703,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,28,0.3188998649517695,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,29,0.31590245266755423,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,30,0.3034436856706937,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,31,0.31773855984210964,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,32,0.33703142205874126,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,33,0.32756481170654295,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,34,0.3188633958498637,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,35,0.32852552831172943,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,36,0.3101353526115418,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,37,0.3114666605989138,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,38,0.31891057689984637,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,39,0.33844119807084405,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,40,0.3230996340513229,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,41,0.3064376999934514,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,42,0.32661508917808535,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,43,0.33491449008385343,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,44,0.31679547081391013,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,45,0.3190452133615812,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,46,0.31842055718104045,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,47,0.3323948428034782,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,48,0.314687184492747,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,49,0.3184757729371389,open_medical_rerun
deepseek_v3_1,medical,Type2_Closed,50,0.2999376729130745,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,1,0.33651079932848615,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,2,0.30844887892405193,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,3,0.3154881084958713,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,4,0.3338287070393562,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,5,0.3170462017258008,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,6,0.31615948875745137,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,7,0.3012155349055926,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,8,0.3217902685205142,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,9,0.31491302847862246,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,10,0.3229418970644474,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,11,0.31275040457646053,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,12,0.2943889111280441,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,13,0.3227359150846799,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,14,0.33415438830852506,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,15,0.32550486127535505,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,16,0.32744808346033094,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,17,0.3301306404173374,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,18,0.3263534985482692,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,19,0.33128062312801676,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,20,0.3005773567284147,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,21,0.3106611502667268,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,22,0.3067752202351888,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,23,0.3260164712866147,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,24,0.33853040710091586,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,25,0.3252389262119929,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,26,0.31116532733043034,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,27,0.32401205847660697,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,28,0.33070465531200166,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,29,0.31158371965090437,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,30,0.3192376494407654,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,31,0.32080519894758863,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,32,0.3226533720890681,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,33,0.30390486593047783,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,34,0.29774396972109873,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,35,0.30009985963503516,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,36,0.30876921961704895,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,37,0.3212925457706054,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,38,0.3164556781450908,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,39,0.3095507018268109,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,40,0.32157863304018974,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,41,0.2931422277043263,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,42,0.3090004553397496,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,43,0.3233706081906954,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,44,0.3393643446266651,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,45,0.30418674349784847,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,46,0.3189299024641514,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,47,0.2949551055828731,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,48,0.31886745492617286,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,49,0.30080065180857973,open_medical_rerun
llama_4_maverick,medical,Type2_Closed,50,0.3015692676107089,open_medical_rerun
llama_4_scout,medical,Type2_Closed,1,0.3275647375111779,open_medical_rerun
llama_4_scout,medical,Type2_Closed,2,0.33698948236803217,open_medical_rerun
llama_4_scout,medical,Type2_Closed,3,0.3162827024236321,open_medical_rerun
llama_4_scout,medical,Type2_Closed,4,0.3367754634159307,open_medical_rerun
llama_4_scout,medical,Type2_Closed,5,0.311801390737916,open_medical_rerun
llama_4_scout,medical,Type2_Closed,6,0.3160996769710134,open_medical_rerun
llama_4_scout,medical,Type2_Closed,7,0.3454219611361623,open_medical_rerun
llama_4_scout,medical,Type2_Closed,8,0.3244602049390475,open_medical_rerun
llama_4_scout,medical,Type2_Closed,9,0.3341778159141541,open_medical_rerun
llama_4_scout,medical,Type2_Closed,10,0.31892456418524184,open_medical_rerun
llama_4_scout,medical,Type2_Closed,11,0.33790289623041947,open_medical_rerun
llama_4_scout,medical,Type2_Closed,12,0.32830871505041914,open_medical_rerun
llama_4_scout,medical,Type2_Closed,13,0.3176296549538772,open_medical_rerun
llama_4_scout,medical,Type2_Closed,14,0.33163566725949445,open_medical_rerun
llama_4_scout,medical,Type2_Closed,15,0.321151768664519,open_medical_rerun
llama_4_scout,medical,Type2_Closed,16,0.32474255934357643,open_medical_rerun
llama_4_scout,medical,Type2_Closed,17,0.3248811575506504,open_medical_rerun
llama_4_scout,medical,Type2_Closed,18,0.30101085950930917,open_medical_rerun
llama_4_scout,medical,Type2_Closed,19,0.32383442558348174,open_medical_rerun
llama_4_scout,medical,Type2_Closed,20,0.3171238941761355,open_medical_rerun
llama_4_scout,medical,Type2_Closed,21,0.330792272153,open_medical_rerun
llama_4_scout,medical,Type2_Closed,22,0.3148866729189952,open_medical_rerun
llama_4_scout,medical,Type2_Closed,23,0.3124016399029642,open_medical_rerun
llama_4_scout,medical,Type2_Closed,24,0.30345274023711677,open_medical_rerun
llama_4_scout,medical,Type2_Closed,25,0.3107490633924802,open_medical_rerun
llama_4_scout,medical,Type2_Closed,26,0.30153320158521335,open_medical_rerun
llama_4_scout,medical,Type2_Closed,27,0.32611081053813296,open_medical_rerun
llama_4_scout,medical,Type2_Closed,28,0.31052560247480865,open_medical_rerun
llama_4_scout,medical,Type2_Closed,29,0.32406646683812146,open_medical_rerun
llama_4_scout,medical,Type2_Closed,30,0.324399340156621,open_medical_rerun
llama_4_scout,medical,Type2_Closed,31,0.31462455218036967,open_medical_rerun
llama_4_scout,medical,Type2_Closed,32,0.31722918028632796,open_medical_rerun
llama_4_scout,medical,Type2_Closed,33,0.33684372881737845,open_medical_rerun
llama_4_scout,medical,Type2_Closed,34,0.3151157480974992,open_medical_rerun
llama_4_scout,medical,Type2_Closed,35,0.3177556226650874,open_medical_rerun
llama_4_scout,medical,Type2_Closed,36,0.32412996372828884,open_medical_rerun
llama_4_scout,medical,Type2_Closed,37,0.3140766995027662,open_medical_rerun
llama_4_scout,medical,Type2_Closed,38,0.30386890632410846,open_medical_rerun
llama_4_scout,medical,Type2_Closed,39,0.3499232432494561,open_medical_rerun
llama_4_scout,medical,Type2_Closed,40,0.3376312812169393,open_medical_rerun
