model,domain,correlation_r,correlation_p,slope,slope_p,early_var_ratio,late_var_ratio,delta_early_late,n_divergent_positions,pct_divergent,pattern
Llama 4 Scout (Med),Medical,0.38031000203407983,0.03815743661665229,0.052645691512791984,0.03815743661665217,1.4076264740000002,2.17058303,0.7629565559999998,24,80.0,INCREASING
Qwen3 235B (Med),Medical,0.3940066521047707,0.031211062314711664,0.028894926004449383,0.031211062314711678,1.058492185,1.6242912400000002,0.5657990550000003,20,66.66666666666666,INCREASING
GPT-4o (Phil),Philosophy,0.42645749570662067,0.018771913316663398,0.020478025294771964,0.01877191331666339,0.7338676550000001,1.129192855,0.39532520000000004,11,36.666666666666664,INCREASING
Gemini Flash (Med),Medical,0.21104072222530884,0.26294091733304525,0.017767119757508346,0.26294091733304514,1.208968299,1.4412161829999999,0.23224788399999996,16,53.333333333333336,INCREASING
Mistral Small 24B (Med),Medical,0.33122473121429163,0.07378226896305716,0.01549654861846496,0.07378226896305685,0.8534370840000001,1.129224504,0.2757874199999999,12,40.0,INCREASING
GPT-4o-mini (Phil),Philosophy,0.27476819632691984,0.14170445198529566,0.015017920467185763,0.14170445198529577,0.692304183,0.979824286,0.2875201030000001,10,33.33333333333333,INCREASING
Llama 4 Maverick (Med),Medical,0.2170202452918656,0.249339933555426,0.012691716700778644,0.24933993355542605,1.1514069519999999,1.335422815,0.18401586300000017,19,63.33333333333333,INCREASING
Gemini Flash (Phil),Philosophy,0.19985494545013605,0.2896606948305384,0.010195429971078977,0.28966069483053847,0.9924960140000001,1.2331758259999999,0.24067981199999977,16,53.333333333333336,INCREASING
Claude Haiku (Phil),Philosophy,0.15489006639317202,0.4137747893042574,0.004022596249165739,0.4137747893042574,0.9635423569999999,1.028113081,0.06457072400000019,19,63.33333333333333,INCREASING
Ministral 14B (Med),Medical,0.06368904338375755,0.7381107614212994,0.0024429733904338135,0.7381107614212996,1.025624422,1.045994414,0.020369992000000003,17,56.666666666666664,INCREASING
DeepSeek V3.1 (Med),Medical,-0.03648455643188171,0.8482072518843613,-0.0016532004849833153,0.8482072518843604,1.071215029,1.047926012,-0.023289016999999967,16,53.333333333333336,DECREASING
Kimi K2 (Med),Medical,-0.28417083058920106,0.12803319745127928,-0.012304947604004447,0.12803319745127922,1.13665774,0.884298991,-0.252358749,12,40.0,DECREASING
