model,model_display,total_params_B,active_params_B,architecture,group,domain,trial,drci_cold,drci_scrambled,drci_mean,mean_true,mean_cold,mean_scrambled
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,0,0.42608355035384493,0.44095638295014694,0.43351996665199594,1.0,0.5739164496461551,0.5590436170498531
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,1,0.4095907241106034,0.4099090178807576,0.4097498709956805,1.0,0.5904092758893966,0.5900909821192424
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,2,0.42348077595233913,0.3941114604473114,0.40879611819982525,1.0,0.5765192240476609,0.6058885395526886
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,3,0.4379471917947133,0.3830503274997076,0.41049875964721044,1.0,0.5620528082052867,0.6169496725002924
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,4,0.4326546142498652,0.3515783170859019,0.39211646566788355,1.0,0.5673453857501348,0.6484216829140981
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,5,0.42060180306434636,0.4312131146589915,0.4259074588616689,1.0,0.5793981969356536,0.5687868853410085
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,6,0.40752055744330085,0.388805216550827,0.3981628869970639,1.0,0.5924794425566992,0.611194783449173
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,7,0.45266936520735424,0.4259299367666245,0.43929965098698937,1.0,0.5473306347926458,0.5740700632333755
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,8,0.45038822392622635,0.39417819678783417,0.42228321035703026,1.0,0.5496117760737737,0.6058218032121658
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,9,0.414343711733818,0.3969427873690923,0.40564324955145514,1.0,0.585656288266182,0.6030572126309077
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,10,0.4053183555603027,0.38774484694004063,0.3965316012501717,1.0,0.5946816444396973,0.6122551530599594
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,11,0.44368200401465097,0.3574963291486104,0.4005891665816307,1.0,0.556317995985349,0.6425036708513896
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,12,0.44262879987557724,0.420654013256232,0.4316414065659046,1.0,0.5573712001244228,0.579345986743768
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,13,0.3773014654715856,0.3982712676127752,0.3877863665421804,1.0,0.6226985345284144,0.6017287323872248
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,14,0.442627665400505,0.44089402059714,0.4417608429988225,1.0,0.557372334599495,0.55910597940286
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,15,0.4045829147100448,0.39735799630482993,0.4009704555074374,1.0,0.5954170852899552,0.6026420036951701
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,16,0.41081276436646774,0.4285774012406667,0.4196950828035672,1.0,0.5891872356335323,0.5714225987593333
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,17,0.4610078006982803,0.3690354992945989,0.4150216499964396,1.0,0.5389921993017197,0.6309645007054011
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,18,0.40434216757615404,0.3634910702705383,0.38391661892334616,1.0,0.595657832423846,0.6365089297294617
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,19,0.4548470333218575,0.47619724596540136,0.46552213964362943,1.0,0.5451529666781425,0.5238027540345986
