model,domain,type,early_drci,mid_drci,late_drci,late_minus_early,anova_f,anova_p,trend_rho,trend_p,disruption_mean,disruption_std,disruption_p
GPT-4o-mini,philosophy,closed,0.264185,0.304550,0.237378,-0.026807,283.2371,3.754229e-51,0.1248,5.111056e-01,-0.112580,0.013711,1.245886e-46
GPT-4o,philosophy,closed,0.305137,0.306949,0.237074,-0.068063,250.0869,4.872924e-48,0.0087,9.637059e-01,-0.095913,0.017995,1.212604e-37
Claude Haiku,philosophy,closed,0.318280,0.366148,0.307270,-0.011009,135.8784,3.833710e-34,0.0972,6.092963e-01,-0.044848,0.030657,9.102690e-14
Gemini Flash,philosophy,closed,0.341049,0.345110,0.327776,-0.013273,2.6738,7.234537e-02,0.0314,8.692979e-01,-0.039211,0.034466,2.170942e-10
DeepSeek V3.1,philosophy,open,0.265423,0.341447,0.303926,0.038503,150.8591,2.386478e-36,0.2476,1.870910e-01,-0.064431,0.017329,2.402698e-30
Llama 4 Maverick,philosophy,open,0.266320,0.286851,0.252532,-0.013788,28.2705,4.091624e-11,0.0865,6.493135e-01,-0.098790,0.020533,1.522788e-35
Llama 4 Scout,philosophy,open,0.304789,0.319753,0.268280,-0.036509,84.5041,3.715376e-25,0.0910,6.325149e-01,-0.112761,0.015942,1.649098e-43
Qwen3 235B,philosophy,open,0.299728,0.346105,0.320649,0.020920,95.0321,3.243032e-27,0.1528,4.200682e-01,-0.092302,0.018776,5.535655e-36
Mistral Small 24B,philosophy,open,0.304025,0.290839,0.247648,-0.056377,130.6581,2.452294e-33,0.0078,9.674263e-01,-0.083356,0.014773,8.128517e-39
Ministral 14B,philosophy,open,0.347506,0.388974,0.381745,0.034239,44.3290,8.611814e-16,0.2267,2.283318e-01,-0.117081,0.019348,2.903774e-40
Kimi K2,philosophy,open,0.370704,0.453360,0.460489,0.089785,116.1649,5.496292e-31,0.3642,4.787361e-02,-0.027085,0.037492,6.364236e-06
Gemini Flash,medical,closed,0.411423,0.372093,0.497570,0.086146,167.5215,1.233162e-38,0.2249,2.321035e-01,-0.065031,0.034732,1.229247e-17
Claude Haiku,medical,closed,0.314904,0.279579,0.425662,0.110758,839.6315,3.740406e-81,0.3317,7.334251e-02,-0.068624,0.042368,2.648116e-15
GPT-4o,medical,closed,0.297659,0.231530,0.368639,0.070981,775.3703,7.985144e-79,0.1266,5.050509e-01,-0.128094,0.020849,1.406765e-40
GPT-4o-mini,medical,closed,0.354615,0.362047,0.376782,0.022167,3.3011,3.959224e-02,0.1413,4.564982e-01,0.013356,0.094630,3.280297e-01
