model,domain,position,rci_cold,var_ratio,mutual_info_proxy
GPT-4o-mini (Phil),Philosophy,1,0.9894106268882752,0.7439092,0.2560908198356628
GPT-4o-mini (Phil),Philosophy,2,0.821653060913086,0.7972497,0.2027503252029419
GPT-4o-mini (Phil),Philosophy,3,0.8923622524738312,0.70641434,0.2935856580734253
GPT-4o-mini (Phil),Philosophy,4,0.9033724939823152,0.85312456,0.1468754410743713
GPT-4o-mini (Phil),Philosophy,5,0.3181929874420166,0.37460732,0.6253926753997803
GPT-4o-mini (Phil),Philosophy,6,0.6853543114662171,0.94128025,0.0587197542190551
GPT-4o-mini (Phil),Philosophy,7,0.7483121407032013,0.7654599,0.2345401048660278
GPT-4o-mini (Phil),Philosophy,8,0.7246923077106476,0.84785706,0.1521429419517517
GPT-4o-mini (Phil),Philosophy,9,0.5994103956222534,0.38669306,0.6133069396018982
GPT-4o-mini (Phil),Philosophy,10,0.6753900301456451,0.50644654,0.4935534596443176
GPT-4o-mini (Phil),Philosophy,11,0.4382885628938675,0.5992401,0.4007598757743835
GPT-4o-mini (Phil),Philosophy,12,0.8724339759349823,1.1949244,-0.1949243545532226
GPT-4o-mini (Phil),Philosophy,13,0.6521376037597656,1.5686519,-0.5686519145965576
GPT-4o-mini (Phil),Philosophy,14,0.7584091913700104,1.2230595,-0.2230595350265503
GPT-4o-mini (Phil),Philosophy,15,0.8808613681793213,1.1024555,-0.1024554967880249
GPT-4o-mini (Phil),Philosophy,16,0.9175019562244416,0.92878306,0.0712169408798217
GPT-4o-mini (Phil),Philosophy,17,0.7112532830238343,1.493501,-0.4935009479522705
GPT-4o-mini (Phil),Philosophy,18,0.5253196060657501,0.73214847,0.2678515315055847
GPT-4o-mini (Phil),Philosophy,19,0.5443449938297271,0.52755004,0.4724499583244324
GPT-4o-mini (Phil),Philosophy,20,0.6539470899105072,2.938217,-1.9382169246673584
GPT-4o-mini (Phil),Philosophy,21,0.8612297511100769,1.2579525,-0.2579524517059326
GPT-4o-mini (Phil),Philosophy,22,0.8182623493671417,1.0720749,-0.0720748901367187
GPT-4o-mini (Phil),Philosophy,23,0.7547489082813263,0.7953479,0.2046520709991455
GPT-4o-mini (Phil),Philosophy,24,0.7961242473125458,0.6876556,0.3123443722724914
GPT-4o-mini (Phil),Philosophy,25,0.8338333785533905,0.76383686,0.2361631393432617
GPT-4o-mini (Phil),Philosophy,26,0.6178691565990448,0.80564743,0.1943525671958923
GPT-4o-mini (Phil),Philosophy,27,0.916307257413864,1.26536,-0.2653599977493286
GPT-4o-mini (Phil),Philosophy,28,0.5994693273305893,0.8456985,0.1543015241622924
GPT-4o-mini (Phil),Philosophy,29,0.782460310459137,1.3876048,-0.3876048326492309
GPT-4o-mini (Phil),Philosophy,30,0.6459146595001221,0.91706425,0.0829357504844665
GPT-4o (Phil),Philosophy,1,0.9968202197551728,0.8175295,0.1824705004692077
GPT-4o (Phil),Philosophy,2,0.8143312954902648,0.63847476,0.3615252375602722
GPT-4o (Phil),Philosophy,3,0.8772380232810975,0.6133372,0.3866627812385559
GPT-4o (Phil),Philosophy,4,0.8827780163288117,0.901925,0.0980749726295471
GPT-4o (Phil),Philosophy,5,0.2313079938292503,0.37684703,0.6231529712677002
GPT-4o (Phil),Philosophy,6,0.5843111395835876,0.9343549,0.0656450986862182
GPT-4o (Phil),Philosophy,7,0.5988375896215439,1.0890671,-0.0890671014785766
GPT-4o (Phil),Philosophy,8,0.7669776999950408,0.913648,0.086351990699768
GPT-4o (Phil),Philosophy,9,0.5821904867887497,0.7075017,0.2924982905387878
GPT-4o (Phil),Philosophy,10,0.6138375771045684,0.34599122,0.6540087759494781
GPT-4o (Phil),Philosophy,11,0.3695398756861687,0.4698663,0.5301336944103241
GPT-4o (Phil),Philosophy,12,0.7975999021530151,0.8004485,0.199551522731781
GPT-4o (Phil),Philosophy,13,0.6648810422420501,0.48375234,0.5162476599216461
GPT-4o (Phil),Philosophy,14,0.7291679131984711,1.3860251,-0.386025071144104
GPT-4o (Phil),Philosophy,15,0.8666341781616211,1.0820209,-0.082020878791809
GPT-4o (Phil),Philosophy,16,0.8914929950237274,1.1930971,-0.1930971145629882
GPT-4o (Phil),Philosophy,17,0.7921681070327758,1.1439066,-0.1439065933227539
GPT-4o (Phil),Philosophy,18,0.5208838349580764,0.48328942,0.5167105793952942
GPT-4o (Phil),Philosophy,19,0.5395285558700561,0.59574777,0.4042522311210632
GPT-4o (Phil),Philosophy,20,0.7586121582984924,2.2269604,-1.2269604206085205
GPT-4o (Phil),Philosophy,21,0.8696350288391114,1.3768059,-0.3768059015274048
GPT-4o (Phil),Philosophy,22,0.8105218577384948,1.270788,-0.2707879543304443
GPT-4o (Phil),Philosophy,23,0.6913181233406067,0.8396766,0.1603233814239502
GPT-4o (Phil),Philosophy,24,0.8527122116088868,1.3235859,-0.3235858678817749
GPT-4o (Phil),Philosophy,25,0.8372182142734528,0.9366234,0.0633766055107116
GPT-4o (Phil),Philosophy,26,0.5591361117362976,0.6551546,0.3448454141616821
GPT-4o (Phil),Philosophy,27,0.9116871857643128,1.0269136,-0.0269136428833007
GPT-4o (Phil),Philosophy,28,0.6525377464294434,0.98709714,0.0129028558731079
GPT-4o (Phil),Philosophy,29,0.8045277214050293,1.8979493,-0.8979493379592896
GPT-4o (Phil),Philosophy,30,0.6399699914455413,0.9773346,0.0226653814315795
Claude Haiku (Phil),Philosophy,1,0.9794474947452544,0.83450013,0.1654998660087585
Claude Haiku (Phil),Philosophy,2,0.7353365552425385,1.0296355,-0.0296355485916137
Claude Haiku (Phil),Philosophy,3,0.8592207026481629,0.9019173,0.0980827212333679
