Domain,Model,Var_Ratio,Diversity_Early,Diversity_Late,Exploration_Arc
medical,Qwen3 235B,1.334,0.1237,0.156,1.261
medical,Mistral Small 24B,0.985,0.1306,0.1573,1.204
medical,Llama 4 Scout,1.61,0.1622,0.1911,1.178
medical,Llama 4 Maverick,1.213,0.1414,0.1452,1.027
medical,Ministral 14B,1.08,0.1853,0.1867,1.008
medical,Gemini Flash Med,1.287,0.2756,0.2719,0.987
medical,DeepSeek V3.1,1.071,0.1798,0.1696,0.943
medical,Kimi K2,1.006,0.2663,0.232,0.871
philosophy,GPT-4o,0.95,0.0563,0.1536,2.728
philosophy,GPT-4o-mini,0.968,0.0554,0.1214,2.193
philosophy,Claude Haiku,1.012,0.128,0.2325,1.816
philosophy,Gemini Flash Phil,1.12,0.1865,0.2608,1.398
