model,domain,position,n_trials,mean_rci_true,mean_rci_cold,var_rci_true,var_rci_cold,delta_rci,var_ratio,vri
DeepSeek V3.1,philosophy,1,50,0.965791,0.95651716,0.0012608446,0.0015018543,0.009273827,0.8395253,0.1604747176170349
DeepSeek V3.1,philosophy,2,50,0.790592,0.8169608,0.0023701347,0.0016273967,-0.026368797,1.4563965,-0.4563964605331421
DeepSeek V3.1,philosophy,3,50,0.85219187,0.83037513,0.013423785,0.0016694171,0.02181673,8.041001,-7.041001319885254
DeepSeek V3.1,philosophy,4,50,0.80073977,0.80976766,0.00088292366,0.0019502554,-0.009027898,0.45272207,0.5472779273986816
DeepSeek V3.1,philosophy,5,50,0.7672315,0.7635368,0.0015524069,0.0023001754,0.003694713,0.6749081,0.3250918984413147
DeepSeek V3.1,philosophy,6,50,0.8646278,0.7899563,0.0004270439,0.0029291143,0.07467151,0.14579284,0.8542071580886841
DeepSeek V3.1,philosophy,7,50,0.7931463,0.8240978,0.0013784916,0.00080695184,-0.0309515,1.7082701,-0.7082700729370117
DeepSeek V3.1,philosophy,8,50,0.75529706,0.79595244,0.0009552834,0.0013029532,-0.040655375,0.7331678,0.266832172870636
DeepSeek V3.1,philosophy,9,50,0.75823975,0.7597199,0.0014969589,0.0038804905,-0.0014801621,0.38576537,0.6142346262931824
DeepSeek V3.1,philosophy,10,50,0.8858384,0.80393296,0.0005669734,0.0022189615,0.081905425,0.25551295,0.7444870471954346
DeepSeek V3.1,philosophy,11,50,0.83391356,0.72320104,0.00079827424,0.0012591432,0.11071253,0.63398206,0.3660179376602173
DeepSeek V3.1,philosophy,12,50,0.80398524,0.8185525,0.00072779285,0.00079457887,-0.014567256,0.9159479,0.08405208587646484
DeepSeek V3.1,philosophy,13,50,0.77801824,0.8639461,0.0010856367,0.004269027,-0.085927844,0.2543054,0.7456946074962616
DeepSeek V3.1,philosophy,14,50,0.7464248,0.8450988,0.0014811874,0.0011465304,-0.098674,1.2918868,-0.2918868064880371
DeepSeek V3.1,philosophy,15,50,0.8220639,0.83957285,0.0017689274,0.0016500235,-0.017508924,1.072062,-0.07206201553344727
DeepSeek V3.1,philosophy,16,50,0.80033094,0.83436745,0.0014244745,0.0010756142,-0.034036517,1.3243358,-0.32433581352233887
DeepSeek V3.1,philosophy,17,50,0.7360126,0.74502045,0.0012423279,0.001451746,-0.009007871,0.8557474,0.14425259828567505
DeepSeek V3.1,philosophy,18,50,0.83346987,0.706877,0.0014069921,0.00326404,0.12659287,0.43105847,0.5689415335655212
DeepSeek V3.1,philosophy,19,50,0.74724543,0.75013006,0.00096490746,0.00065195793,-0.0028846264,1.4800149,-0.4800149202346802
DeepSeek V3.1,philosophy,20,50,0.8069536,0.8694308,0.0012012547,0.00065471925,-0.06247717,1.834763,-0.8347630500793457
DeepSeek V3.1,philosophy,21,50,0.74636513,0.7496307,0.001588866,0.0050941375,-0.0032655597,0.31190088,0.6880991160869598
DeepSeek V3.1,philosophy,22,50,0.82222044,0.804299,0.0005862948,0.0012778025,0.017921448,0.45883054,0.5411694645881653
DeepSeek V3.1,philosophy,23,50,0.8150534,0.8203243,0.0006160288,0.00087150006,-0.0052708983,0.7068603,0.2931396961212158
DeepSeek V3.1,philosophy,24,50,0.7904823,0.80838996,0.00071840594,0.0010861867,-0.01790768,0.66140187,0.3385981321334839
DeepSeek V3.1,philosophy,25,50,0.7807768,0.7151725,0.00094490405,0.0034762751,0.06560427,0.2718151,0.7281849086284637
DeepSeek V3.1,philosophy,26,50,0.7639059,0.7191421,0.00090089225,0.0015293664,0.044763803,0.5890624,0.4109376072883606
DeepSeek V3.1,philosophy,27,50,0.8550398,0.8801089,0.0006589331,0.0008066046,-0.025069118,0.816922,0.18307799100875854
DeepSeek V3.1,philosophy,28,50,0.7267636,0.7840475,0.0012604813,0.002220686,-0.05728388,0.56760895,0.43239104747772217
DeepSeek V3.1,philosophy,29,50,0.7153232,0.81661636,0.001959316,0.0011958998,-0.10129315,1.6383613,-0.6383613348007202
DeepSeek V3.1,philosophy,30,50,0.8273525,0.6769788,0.0003793508,0.0039972067,0.1503737,0.094903976,0.905096024274826
Llama 4 Maverick,philosophy,1,50,0.9800743,0.9794225,1.2941098e-05,1.9510651e-05,0.0006517768,0.66328377,0.3367162346839905
Llama 4 Maverick,philosophy,2,50,0.8667318,0.8712109,0.0005782538,0.0004233066,-0.0044790506,1.3660402,-0.3660402297973633
Llama 4 Maverick,philosophy,3,50,0.9210285,0.90234494,0.00038482592,0.00051299424,0.018683553,0.7501564,0.24984359741210938
Llama 4 Maverick,philosophy,4,50,0.85555327,0.8725409,0.0005019708,0.00052718574,-0.016987622,0.9521707,0.047829270362854004
Llama 4 Maverick,philosophy,5,50,0.82524526,0.76242876,0.0007783474,0.0023536829,0.0628165,0.33069342,0.6693065762519836
Llama 4 Maverick,philosophy,6,50,0.88987863,0.8488175,0.0008754984,0.00048381844,0.041061103,1.8095598,-0.8095598220825195
Llama 4 Maverick,philosophy,7,50,0.80547553,0.78726596,0.00096354965,0.001671735,0.018209577,0.57637703,0.4236229658126831
Llama 4 Maverick,philosophy,8,50,0.8908414,0.817152,0.00040558405,0.0036409772,0.0736894,0.111394286,0.8886057138442993
Llama 4 Maverick,philosophy,9,50,0.8561773,0.6977458,0.0005177431,0.0085612275,0.15843147,0.06047534,0.9395246617496014
Llama 4 Maverick,philosophy,10,50,0.91536087,0.91689354,0.00033103488,0.00097434415,-0.0015326738,0.3397515,0.6602484881877899
Llama 4 Maverick,philosophy,11,50,0.86518306,0.88453954,0.00030016195,0.0022371581,-0.01935649,0.1341711,0.8658289015293121
