model,domain,n_trials,diversity_early,diversity_late,exploration_arc,diversities
GPT-4o,philosophy,50,0.05632715225219727,0.15364546775817872,2.7277336349306593,"[0.0026400089263916016, 0.05828124284744263, 0.04872220754623413, 0.07422751188278198, 0.09776479005813599, 0.09753686189651489, 0.1649641990661621, 0.1714445948600769, 0.23275750875473022, 0.0861557126045227, 0.14807486534118652, 0.0869637131690979, 0.1438000202178955, 0.13136619329452515, 0.09305047988891602, 0.09543776512145996, 0.13440996408462524, 0.12349408864974976, 0.17075061798095703, 0.12443685531616211, 0.10464644432067871, 0.14113849401474, 0.1699475646018982, 0.11875706911087036, 0.12107938528060913, 0.19917869567871094, 0.07246100902557373, 0.22228968143463135, 0.1462092399597168, 0.12808871269226074]"
GPT-4o-mini,philosophy,50,0.05535049438476562,0.12136391401290894,2.1926437218293846,"[0.008889496326446533, 0.07175689935684204, 0.04157906770706177, 0.06402963399887085, 0.09049737453460693, 0.09937542676925659, 0.13268566131591797, 0.1234046220779419, 0.11250978708267212, 0.07263749837875366, 0.11753350496292114, 0.09838318824768066, 0.17521941661834717, 0.12913662195205688, 0.08199858665466309, 0.07222038507461548, 0.12727659940719604, 0.13921386003494263, 0.1329885721206665, 0.1060228943824768, 0.12927991151809692, 0.11729264259338379, 0.14869838953018188, 0.08157157897949219, 0.09282463788986206, 0.14847195148468018, 0.07615292072296143, 0.15930616855621338, 0.10274970531463623, 0.12013882398605347]"
Claude Haiku,philosophy,50,0.1280049443244934,0.2325027346611023,1.8163574531285782,"[0.0185050368309021, 0.21883291006088257, 0.10517668724060059, 0.1302291750907898, 0.167280912399292, 0.15886330604553223, 0.13265663385391235, 0.21332472562789917, 0.22319287061691284, 0.15233439207077026, 0.15883243083953857, 0.17502045631408691, 0.20594459772109985, 0.22220385074615479, 0.17107409238815308, 0.21241658926010132, 0.23552793264389038, 0.18669754266738892, 0.2709621787071228, 0.2122715711593628, 0.21277034282684326, 0.2085709571838379, 0.21667861938476562, 0.2627829909324646, 0.23784977197647095, 0.27997714281082153, 0.16741818189620972, 0.27202850580215454, 0.23663991689682007, 0.20644992589950562]"
Gemini Flash Phil,philosophy,50,0.1864948272705078,0.2607618927955627,1.3982258736717224,"[0.04173547029495239, 0.1704515814781189, 0.10027772188186646, 0.21541571617126465, 0.40459364652633667, 0.2511361837387085, 0.4212610721588135, 0.32652759552001953, 0.30091774463653564, 0.2514227032661438, 0.27298277616500854, 0.1137121319770813, 0.16174376010894775, 0.3008466362953186, 0.1216922402381897, 0.2856576442718506, 0.2717028260231018, 0.3573208451271057, 0.32619285583496094, 0.2457605004310608, 0.280892550945282, 0.17209523916244507, 0.14732110500335693, 0.33988630771636963, 0.20118600130081177, 0.3679487109184265, 0.08214622735977173, 0.3114011883735657, 0.3126795291900635, 0.22963380813598633]"
DeepSeek V3.1,medical,50,0.17978329658508302,0.16959547996520996,0.9433327966869735,"[0.1525416374206543, 0.14580535888671875, 0.2594667673110962, 0.203110933303833, 0.1379917860031128, 0.19445902109146118, 0.13717156648635864, 0.13722538948059082, 0.1200597882270813, 0.12943518161773682, 0.11300104856491089, 0.20388692617416382, 0.1428505778312683, 0.11561661958694458, 0.19137614965438843, 0.21782588958740234, 0.1304793357849121, 0.16397899389266968, 0.17662876844406128, 0.08661448955535889, 0.09320300817489624, 0.13509106636047363, 0.149932861328125, 0.16553997993469238, 0.18669700622558594, 0.13179630041122437, 0.14202946424484253, 0.17659437656402588, 0.20732170343399048, 0.19023555517196655]"
Kimi K2,medical,50,0.2662520170211792,0.2319527268409729,0.8711773508274383,"[0.2963782548904419, 0.22247499227523804, 0.2903282642364502, 0.2509247064590454, 0.27115386724472046, 0.25605297088623047, 0.19181019067764282, 0.21584755182266235, 0.25861579179763794, 0.08305883407592773, 0.24880462884902954, 0.19768035411834717, 0.2044723629951477, 0.2124282717704773, 0.24396729469299316, 0.285788893699646, 0.30730515718460083, 0.18278616666793823, 0.23145389556884766, 0.12975507974624634, 0.15373623371124268, 0.22971129417419434, 0.14975428581237793, 0.22736376523971558, 0.24413621425628662, 0.22623097896575928, 0.22225546836853027, 0.2385491132736206, 0.2510649561882019, 0.22166311740875244]"
Llama 4 Maverick,medical,50,0.14135061502456664,0.14520580768585206,1.0272739716103492,"[0.11575973033905029, 0.13544273376464844, 0.25509577989578247, 0.10660475492477417, 0.09385007619857788, 0.157820463180542, 0.08250069618225098, 0.16435915231704712, 0.09078025817871094, 0.12641918659210205, 0.08332550525665283, 0.1172257661819458, 0.12872451543807983, 0.06402266025543213, 0.09916317462921143, 0.14821326732635498, 0.142441987991333, 0.12643533945083618, 0.20533663034439087, 0.11540913581848145, 0.10945892333984375, 0.1829320788383484, 0.10817903280258179, 0.09415000677108765, 0.18347853422164917, 0.16578608751296997, 0.09329181909561157, 0.13402003049850464, 0.08840274810791016, 0.24452835321426392]"
Llama 4 Scout,medical,50,0.1622440457344055,0.19105876684188844,1.177601100718684,"[0.14690160751342773, 0.17754137516021729, 0.2018718123435974, 0.16553783416748047, 0.11936759948730469, 0.13468652963638306, 0.11440527439117432, 0.1733735203742981, 0.10758727788925171, 0.17831146717071533, 0.10612404346466064, 0.14356344938278198, 0.15851563215255737, 0.09714895486831665, 0.12220346927642822, 0.1574898362159729, 0.14075785875320435, 0.17060917615890503, 0.21388763189315796, 0.1346757411956787, 0.10405832529067993, 0.19847756624221802, 0.13701391220092773, 0.10774511098861694, 0.18613660335540771, 0.2035396695137024, 0.1462649703025818, 0.18998956680297852, 0.1607295274734497, 0.25477010011672974]"
Mistral Small 24B,medical,50,0.13061050176620484,0.15731959342956542,1.2044942121971964,"[0.11183881759643555, 0.11012524366378784, 0.1978558897972107, 0.09687530994415283, 0.13635724782943726, 0.16888004541397095, 0.09079676866531372, 0.13708925247192383, 0.087349534034729, 0.10972297191619873, 0.08857458829879761, 0.1078641414642334, 0.12160801887512207, 0.08413755893707275, 0.11398595571517944, 0.1425655484199524, 0.13989299535751343, 0.15285831689834595, 0.1571887731552124, 0.08222246170043945, 0.08672201633453369, 0.2043558955192566, 0.10877770185470581, 0.10204458236694336, 0.1606208086013794, 0.13450920581817627, 0.14191508293151855, 0.1449231505393982, 0.14705967903137207, 0.21819084882736206]"
Ministral 14B,medical,50,0.18526381254196167,0.18670028448104858,1.007753656363741,"[0.1656094789505005, 0.1272289752960205, 0.24031531810760498, 0.15460896492004395, 0.23855632543563843, 0.2258303165435791, 0.18804913759231567, 0.18877583742141724, 0.11786848306655884, 0.16620057821273804, 0.12605887651443481, 0.21622049808502197, 0.17157095670700073, 0.14803528785705566, 0.18055355548858643, 0.17556482553482056, 0.16280633211135864, 0.23578685522079468, 0.2079651951789856, 0.1766822338104248, 0.10959583520889282, 0.2567650079727173, 0.18835222721099854, 0.19616836309432983, 0.2091130018234253, 0.1586463451385498, 0.14163964986801147, 0.21819478273391724, 0.22774702310562134, 0.18727362155914307]"
